id	datum	kezdes	belepo	tipus
1	2019.03.23	15:00	500	bajnoki
2	2019.04.20	15:30	1000	bajnoki
3	2018.09.08	16:00	500	bajnoki
4	2018.11.03	13:30	500	bajnoki
5	2018.12.01	13:30	500	bajnoki
6	2018.08.15	17:00	200	kupa
7	2018.11.17	13:30	1000	bajnoki
8	2019.05.18	16:00	500	bajnoki
9	2018.08.22	17:00	200	kupa
10	2018.09.22	15:30	500	bajnoki
11	2018.08.25	17:00	500	bajnoki
12	2018.10.06	14:00	1000	bajnoki
13	2018.10.20	13:30	500	bajnoki
14	2019.03.09	13:30	500	bajnoki
15	2018.09.26	15:00	500	kupa
16	2019.05.04	16:00	500	bajnoki
17	2018.10.24	14:00	1000	kupa
18	2018.08.11	17:00	500	bajnoki
19	2019.04.06	15:30	500	bajnoki
